主体ID,销售组织,客戶編碼,客户,客名,销售部门,销售业务员,商品名称,销售数量,数量,主计量,合计含税金额,线索客户编码,线索客户名称,ERP订单号,ERP订单状态,要求送货日期,创建时间,商品編碼,小類編碼,小類,客戶屬性,訂單總金額
2592764313929252871,香港事业部,15MYKD.KSH05,佳城興業有限公司火炭,佳城興業,分销业务冻品水产部销售部,岑美玉,華王樂雞肉腸｜10.88KG(340.2g*32),3,96,包,758.4,,,14803195,已登记,2026-07-27 00:00:00,2026-07-26 11:44:59,1310501001,1310501,腸類.雞肉腸,批發-加工,758.4
2591999543462592517,香港事业部,NFT00.000230,恆輝貿易公司,恆輝,分销业务冻品水产部销售部,凌靖翔,金鷹面精肉|25KG,5,125,千克,4091.5,,,14802528,已登记,2026-07-27 00:00:00,2026-07-25 11:01:05,1300109002,1300109,面精肉,批發-飛機,4091.5
2591999371663900676,香港事业部,NFT00.002551,溢利食品(香港)有限公司,溢利,分销业务冻品水产部销售部,凌靖翔,中國紅布腸|20KG,2,40,千克,970.2,,,14803121,已登记,2026-07-27 00:00:00,2026-07-25 11:00:45,1300114011,1300114,熟食,批發-飛機,970.2
2591978403656630275,香港事业部,NFT00.000168,明記凍肉,明記,分销业务冻品水产部销售部,凌靖翔,遼寧欣城琵琶腿130-150G|10KG(5KG*2),1,10,千克,128,,,14803069,已登记,2026-07-25 00:00:00,2026-07-25 10:20:05,1300624103,1300624,琵琶腿,凍肉店,128
2591921366467870727,香港事业部,NFT00.000169,福源食品有限公司,福源,分销业务冻品水产部销售部,罗展勤,遼寧欣城帶骨雞全腿 280-300G|15KG,15,225,千克,3936.75,,,14803021,已登记,2026-07-25 00:00:00,2026-07-25 08:29:24,1300603040,1300603,帶骨全腿,批發-加工,3936.75
2591921366467870727,香港事业部,NFT00.000169,福源食品有限公司,福源,分销业务冻品水产部销售部,罗展勤,遼寧銘川帶皮腿扒|15KG (300克+/塊),5,75,千克,3936.75,,,14803021,已登记,2026-07-25 00:00:00,2026-07-25 08:29:24,1300607015,1300607,帶皮腿扒,批發-加工,0
2591921357877936130,香港事业部,NFT00.000169,福源食品有限公司,福源,分销业务冻品水产部销售部,罗展勤,遼寧欣城帶骨雞全腿 280-300G|15KG,15,225,千克,3936.75,,,14803022,已登记,2026-07-25 00:00:00,2026-07-25 08:29:24,1300603040,1300603,帶骨全腿,批發-加工,3936.75
2591921357877936130,香港事业部,NFT00.000169,福源食品有限公司,福源,分销业务冻品水产部销售部,罗展勤,遼寧銘川帶皮腿扒|15KG (300克+/塊),5,75,千克,3936.75,,,14803022,已登记,2026-07-25 00:00:00,2026-07-25 08:29:24,1300607015,1300607,帶皮腿扒,批發-加工,0
2591410926807678979,香港事业部,NFT00.000230,恆輝貿易公司,恆輝,分销业务冻品水产部销售部,凌靖翔,華英全淨膛鴨|11.2KG (1.4KG/只),1,11.2,千克,117.6,,,14802349,已登记,2026-07-25 00:00:00,2026-07-24 15:59:00,1300901002,1300901,整鴨,批發-飛機,117.6
2591387252924874760,香港事业部,NFT00.000230,恆輝貿易公司,恆輝,分销业务冻品水产部销售部,凌靖翔,河南去皮上腿肉|12KG,1,12,千克,187.2,,,14802847,已登记,2026-07-25 00:00:00,2026-07-24 15:13:06,1300609001,1300609,去皮上腿肉,批發-飛機,187.2
